event_id,primary_classification,primary_score
22667399,greetings,0.976829
22667940,personal,0.365528
22669363,birthday_celebration,0.988216
22671722,personal,0.998931
22671740,birthday_celebration,0.845858
22672249,wedding_related,0.841754
22673019,birthday_celebration,0.92747
22675344,birthday_celebration,0.994127
22680694,greetings,0.739317
22684456,birthday_celebration,0.962431
22685518,wedding_related,0.688073
22685950,organizations,0.664902
22689803,greetings,0.990061
22692708,personal,0.534003
22692816,birthday_celebration,0.940374
22693015,birthday_celebration,0.813012
22693537,personal,0.443726
22694186,greetings,0.998934
22696542,birthday_celebration,0.968453
22697964,greetings,0.756983
22698650,wedding_related,0.697495
22699805,organizations,0.971549
22701593,greetings,0.969182
22702634,greetings,0.955262
22702940,organizations,0.940715
22703323,organizations,0.924663
22710614,birthday_celebration,0.992643
22712126,birthday_celebration,0.992643
22712467,birthday_celebration,0.992643
22714735,birthday_celebration,0.939782
22718342,wedding_related,0.427978
22718924,personal,0.961613
22720731,personal,0.93376
22721164,personal,0.571586
22726983,wedding_related,0.951018
22729233,personal,0.623392
22732656,wedding_related,0.943202
22735612,birthday_celebration,0.992643
22737876,birthday_celebration,0.992643
22738775,birthday_celebration,0.992643
22742130,birthday_celebration,0.967933
22742953,birthday_celebration,0.992643
22745330,birthday_celebration,0.89092
22745923,personal,0.889667
22748061,personal,0.986011
22749789,wedding_related,0.98327
22751128,organizations,0.664902
22754119,birthday_celebration,0.896366
22758767,wedding_related,0.882442
22760838,wedding_related,0.890893
22762181,birthday_celebration,0.992643
22764476,birthday_celebration,0.992643
22766041,organizations,0.963902
22779195,wedding_related,0.988889
22780774,organizations,0.548346
22782186,organizations,0.664902
22789278,birthday_celebration,0.992643
22791194,birthday_celebration,0.992643
22792627,birthday_celebration,0.992643
22794002,birthday_celebration,0.992643
22794182,birthday_celebration,0.992643
22795615,birthday_celebration,0.992643
22796792,birthday_celebration,0.992643
22798701,birthday_celebration,0.992643
22799061,birthday_celebration,0.992643
22074454,greetings,0.990861
22079311,greetings,0.941363
22083134,personal,0.412527
22085002,organizations,0.664902
22089872,greetings,0.998293
22100686,birthday_celebration,0.993621
22100916,birthday_celebration,0.952084
22102647,birthday_celebration,0.98549
22102715,greetings,0.926611
22103003,wedding_related,0.910681
22103655,wedding_related,0.986604
22103713,wedding_related,0.997441
22106282,greetings,0.976528
22109848,birthday_celebration,0.989367
22109946,personal,0.476063
22113525,organizations,0.664902
22116696,wedding_related,0.757867
22117583,organizations,0.503127
22138897,organizations,0.587322
22157531,organizations,0.664902
22169205,wedding_related,0.84836
22179745,wedding_related,0.574136
22184659,greetings,0.934877
22189941,birthday_celebration,0.58253
22195597,personal,0.696906
22195921,organizations,0.664902
22202273,birthday_celebration,0.993852
22203591,birthday_celebration,0.930792
22204528,wedding_related,0.867103
22208705,personal,0.780111
22210721,wedding_related,0.985159
22216059,birthday_celebration,0.992283
22216203,wedding_related,0.906227
22216599,birthday_celebration,0.789096
22217754,organizations,0.929544
22222185,birthday_celebration,0.940234
22222221,birthday_celebration,0.949499
22223267,wedding_related,0.53983
22226762,birthday_celebration,0.868725
22227194,personal,0.698297
22234929,birthday_celebration,0.984237
22237452,organizations,0.980741
22238172,personal,0.887028
22250142,organizations,0.451524
22250561,other,0.641857
22257155,personal,0.568277
22261295,greetings,0.998401
22262844,birthday_celebration,0.996071
22264033,birthday_celebration,0.908685
22266121,personal,0.998662
22267671,other,0.858176
22276155,greetings,0.715238
22280084,personal,0.892869
22290181,birthday_celebration,0.990596
22293869,personal,0.510727
22294072,wedding_related,0.898059
22304883,personal,0.997712
22307261,organizations,0.403946
22312777,birthday_celebration,0.948709
22315335,birthday_celebration,0.935453
22323979,birthday_celebration,0.974869
22325753,wedding_related,0.536259
22325857,organizations,0.451524
22326181,birthday_celebration,0.709632
22326721,wedding_related,0.625148
22335765,birthday_celebration,0.952688
